service_provider,name_service,type_education,terms_service,service_forms,service_price,phone_numbers,web_site,e-mail,area_activity,classroom_hours
Автономная некоммерческая организация дополнительного профессионального образования Учебный центр «Престиж»,Кладовщик,Профессиональная переподготовка,160,Очно-заочная с применением электронного и дистанционного обучения,20000,8(3452) 22-77-52; 8 961 210 32 18,https://kurs-prestige.ru/,390175@mail.ru,Сквозные виды профессиональной деятельности в промышленности,80
Автономная некоммерческая организация дополнительного профессионального образования Учебный центр «Престиж»,Копирайтер,Повышение квалификации,72,Очно-заочная с применением электронного и дистанционного обучения,16000,8(3452) 22-77-52; 8 961 210 32 18,https://kurs-prestige.ru/,390175@mail.ru,СМИ/Издательство и типография,36
Автономная некоммерческая организация дополнительного профессионального образования Учебный центр «Престиж»,Оказание первой доврачебной помощи,Повышение квалификации,32,Очно-заочная с применением электронного и дистанционного обучения,3000,8(3452) 22-77-52; 8 961 210 32 18,https://kurs-prestige.ru/,390175@mail.ru,Здравоохранение,10
Частное образовательное учреждение дополнительного профессионального образования «Научно-образовательный центр социально-экономических технологий»,"Бухгалтерский учет и налогообложение (обучение в программах 1С: Бухгалтерия8.3, 1С:ЗУП, «DIRECTUM»)",Профессиональная переподготовка,256,Очно-заочная с применением электронного и дистанционного обучения,20000,8 (3452) 666-964; 8(3452) 666-965,https://www.nocset.ru/,noctmn@mail.ru,Финансы и экономика,110
Частное образовательное учреждение дополнительного профессионального образования «Научно-образовательный центр социально-экономических технологий»,"Кадровое делопроизводство (обучение в программах 1С:ЗУП, «DIRECTUM»)",Профессиональная переподготовка,250,Очно-заочная с применением электронного и дистанционного обучения,20000,8 (3452) 666-964; 8(3452) 666-965,https://www.nocset.ru/,noctmn@mail.ru,Административно-управленческая и офисная деятельность,90
Частное образовательное учреждение дополнительного профессионального образования «Научно-образовательный центр социально-экономических технологий»,Специалист по охране труда ,Профессиональная переподготовка,256,Очно-заочная с применением электронного и дистанционного обучения,20000,8 (3452) 666-964; 8(3452) 666-965,https://www.nocset.ru/,noctmn@mail.ru,Охрана труда,110
Частное образовательное учреждение дополнительного профессионального образования «Научно-образовательный центр социально-экономических технологий»,"Кадровый менеджмент (обучение в программах 1С:ЗУП, «DIRECTUM»)",Профессиональная переподготовка,256,Очно-заочная с применением электронного и дистанционного обучения,20000,8 (3452) 666-964; 8(3452) 666-965,https://www.nocset.ru/,noctmn@mail.ru,Административно-управленческая и офисная деятельность,110
Частное образовательное учреждение дополнительного профессионального образования «Научно-образовательный центр социально-экономических технологий»,Документоведение и документационное обеспечение управления,Профессиональная переподготовка,256,Очно-заочная с применением электронного и дистанционного обучения,20000,8 (3452) 666-964; 8(3452) 666-965,https://www.nocset.ru/,noctmn@mail.ru,Административно-управленческая и офисная деятельность,110
Частное образовательное учреждение дополнительного профессионального образования «Научно-образовательный центр социально-экономических технологий»,Педагогическое образование: педагог дополнительного профессионального образования,Профессиональная переподготовка,256,Очно-заочная с применением электронного и дистанционного обучения,20000,8 (3452) 666-964; 8(3452) 666-965,https://www.nocset.ru/,noctmn@mail.ru,Образование и наука,110
Частное образовательное учреждение дополнительного профессионального образования «Научно-образовательный центр социально-экономических технологий»,Педагогическое образование: педагог дополнительного  образования,Профессиональная переподготовка,254,Очно-заочная с применением электронного и дистанционного обучения,20000,8 (3452) 666-964; 8(3452) 666-965,https://www.nocset.ru/,noctmn@mail.ru,Образование и наука,90
Частное образовательное учреждение дополнительного профессионального образования «Научно-образовательный центр социально-экономических технологий»,Педагогическое образование: дошкольное образование (воспитатель),Профессиональная переподготовка,256,Очно-заочная с применением электронного и дистанционного обучения,20000,8 (3452) 666-964; 8(3452) 666-965,https://www.nocset.ru/,noctmn@mail.ru,Образование и наука,110
Частное образовательное учреждение дополнительного профессионального образования «Научно-образовательный центр социально-экономических технологий»,Специалист в сфере закупок,Профессиональная переподготовка,256,Очно-заочная с применением электронного и дистанционного обучения,20000,8 (3452) 666-964; 8(3452) 666-965,https://www.nocset.ru/,noctmn@mail.ru,Финансы и экономика,110
Частное образовательное учреждение дополнительного профессионального образования «Научно-образовательный центр социально-экономических технологий»,Специалист по социальной работе,Профессиональная переподготовка,252,Очно-заочная с применением электронного и дистанционного обучения,20000,8 (3452) 666-964; 8(3452) 666-965,https://www.nocset.ru/,noctmn@mail.ru,Социальное обслуживание,90
Частное образовательное учреждение дополнительного профессионального образования «Научно-образовательный центр социально-экономических технологий»,SMM-менеджер. Продвижение в социальных сетях,Повышение квалификации,72,Очно-заочная с применением электронного и дистанционного обучения,20000,8 (3452) 666-964; 8(3452) 666-965,https://www.nocset.ru/,noctmn@mail.ru,Связь и ИКТ,36
Частное образовательное учреждение дополнительного профессионального образования «Научно-образовательный центр социально-экономических технологий»,Копирайтер и коммерческий редактор,Повышение квалификации,72,Очно-заочная с применением электронного и дистанционного обучения,20000,8 (3452) 666-964; 8(3452) 666-965,https://www.nocset.ru/,noctmn@mail.ru,СМИ/Издательство и типография,36
Частное образовательное учреждение дополнительного профессионального образования «Научно-образовательный центр социально-экономических технологий»,Младший воспитатель,Профессиональное обучение,252,Очно-заочная с применением электронного и дистанционного обучения,20000,8 (3452) 666-964; 8(3452) 666-965,https://www.nocset.ru/,noctmn@mail.ru,Образование и наука,90
Частное образовательное учреждение дополнительного профессионального образования «Научно-образовательный центр социально-экономических технологий»,Секретарь-администратор,Профессиональное обучение,160,Очно-заочная с применением электронного и дистанционного обучения,20000,8 (3452) 666-964; 8(3452) 666-965,https://www.nocset.ru/,noctmn@mail.ru,Административно-управленческая и офисная деятельность,80
Частное образовательное учреждение дополнительного профессионального образования «Научно-образовательный центр социально-экономических технологий»,Кладовщик,Профессиональное обучение,160,Очно-заочная с применением электронного и дистанционного обучения,20000,8 (3452) 666-964; 8(3452) 666-965,https://www.nocset.ru/,noctmn@mail.ru,Сквозные виды профессиональной деятельности в промышленности,80
Частное образовательное учреждение дополнительного профессионального образования «Научно-образовательный центр социально-экономических технологий»,Продавец продовольственных товаров,Профессиональное обучение,156,Очно-заочная с применением электронного и дистанционного обучения,20000,8 (3452) 666-964; 8(3452) 666-965,https://www.nocset.ru/,noctmn@mail.ru,Торговля,80
Частное образовательное учреждение дополнительного профессионального образования «Научно-образовательный центр социально-экономических технологий»,Продавец непродовольственных товаров,Профессиональное обучение,156,Очно-заочная с применением электронного и дистанционного обучения,20000,8 (3452) 666-964; 8(3452) 666-965,https://www.nocset.ru/,noctmn@mail.ru,Торговля,80
Частное образовательное учреждение дополнительного профессионального образования «Научно-образовательный центр социально-экономических технологий»,Кассир торгового зала,Профессиональное обучение,150,Очно-заочная с применением электронного и дистанционного обучения,20000,8 (3452) 666-964; 8(3452) 666-965,https://www.nocset.ru/,noctmn@mail.ru,Торговля,80
Частное образовательное учреждение дополнительного профессионального образования «Научно-образовательный центр социально-экономических технологий»,Повар,Профессиональное обучение,160,Очно-заочная с применением электронного и дистанционного обучения,20000,8 (3452) 666-964; 8(3452) 666-965,https://www.nocset.ru/,noctmn@mail.ru,Пищевая промышленность,80
Частное образовательное учреждение дополнительного профессионального образования «Научно-образовательный центр социально-экономических технологий»,Архивариус,Профессиональное обучение,160,Очно-заочная с применением электронного и дистанционного обучения,20000,8 (3452) 666-964; 8(3452) 666-965,https://www.nocset.ru/,noctmn@mail.ru,Административно-управленческая и офисная деятельность,80
Частное образовательное учреждение дополнительного профессионального образования Учебный центр «Мастерпроф»,Кладовщик (с изучением программы 1С),Профессиональная переподготовка,240,Очно-заочная с применением электронного и дистанционного обучения,12000,8 (3452) 27-31-09; 8 909 180 72 67,http://masterprof72.ru/,mprof12@mail.ru,Сквозные виды профессиональной деятельности в промышленности,90
Частное образовательное учреждение дополнительного профессионального образования Учебный центр «Мастерпроф»,Младший воспитатель,Профессиональная переподготовка,320,Очно-заочная с применением электронного и дистанционного обучения,14000,8 (3452) 27-31-09; 8 909 180 72 67,http://masterprof72.ru/,mprof12@mail.ru,Образование и наука,100
Частное образовательное учреждение дополнительного профессионального образования Учебный центр «Мастерпроф»,Помощник воспитателя,Профессиональная переподготовка,240,Очно-заочная с применением электронного и дистанционного обучения,11000,8 (3452) 27-31-09; 8 909 180 72 67,http://masterprof72.ru/,mprof12@mail.ru,Образование и наука,90
Частное образовательное учреждение дополнительного профессионального образования Учебный центр «Мастерпроф»,Мастер ногтевого сервиса (маникюрша),Профессиональная переподготовка,240,Очно-заочная с применением электронного и дистанционного обучения,15000,8 (3452) 27-31-09; 8 909 180 72 67,http://masterprof72.ru/,mprof12@mail.ru,Ногтевой сервис,90
Частное образовательное учреждение дополнительного профессионального образования Учебный центр «Мастерпроф»,Специалист по охране труда,Профессиональная переподготовка,320,Очно-заочная с применением электронного и дистанционного обучения,15000,8 (3452) 27-31-09; 8 909 180 72 67,http://masterprof72.ru/,mprof12@mail.ru,Охрана труда,100
Частное образовательное учреждение дополнительного профессионального образования Учебный центр «Мастерпроф»,Кадровый учет в программе 1С: Зарплата и управление персоналом,Профессиональная переподготовка,72,Очно-заочная с применением электронного и дистанционного обучения,14000,8 (3452) 27-31-09; 8 909 180 72 67,http://masterprof72.ru/,mprof12@mail.ru,Финансы и экономика,36
Автономная некоммерческая организация «Тюменский межрегиональный центр охраны труда»,Кадровое делопроизводство,Профессиональная переподготовка,256,Заочная с применением электронного и дистанционного обучения,18000,8 (3452) 28-38-53; 8 (3452) 90-51-11; 8 912 991 90 90,тмцот.рф,dpo@tmcot.ru,Административно-управленческая и офисная деятельность,110
Автономная некоммерческая организация «Тюменский межрегиональный центр охраны труда»,Техносферная безопасность. Охрана труда,Профессиональная переподготовка,256,Очно-заочная,15000,8 (3452) 28-38-53; 8 (3452) 90-51-11; 8 912 991 90 90,тмцот.рф,dpo@tmcot.ru,Охрана труда,110
Автономная некоммерческая организация «Тюменский межрегиональный центр охраны труда»,Специалист по организационному и документационному обеспечению управления организацией,Профессиональная переподготовка,256,Заочная с применением электронного и дистанционного обучения,18000,8 (3452) 28-38-53; 8 (3452) 90-51-11; 8 912 991 90 90,тмцот.рф,dpo@tmcot.ru,Административно-управленческая и офисная деятельность,110
Автономная некоммерческая организация «Тюменский межрегиональный центр охраны труда»,Бухгалтер предприятия,Профессиональная переподготовка,256,Заочная с применением электронного и дистанционного обучения,18000,8 (3452) 28-38-53; 8 (3452) 90-51-11; 8 912 991 90 90,тмцот.рф,dpo@tmcot.ru,Финансы и экономика,110
Автономная некоммерческая организация «Тюменский межрегиональный центр охраны труда»,Документоведение и архивоведение,Профессиональная переподготовка,256,Заочная с применением электронного и дистанционного обучения,18000,8 (3452) 28-38-53; 8 (3452) 90-51-11; 8 912 991 90 90,тмцот.рф,dpo@tmcot.ru,Административно-управленческая и офисная деятельность,110
Автономная некоммерческая организация «Тюменский межрегиональный центр охраны труда»,Государственное и муниципальное управление ,Профессиональная переподготовка,460,Заочная с применением электронного и дистанционного обучения,20000,8 (3452) 28-38-53; 8 (3452) 90-51-11; 8 912 991 90 90,тмцот.рф,dpo@tmcot.ru,Административно-управленческая и офисная деятельность,100
Автономная некоммерческая организация «Тюменский межрегиональный центр охраны труда»,Интернет-маркетолог,Профессиональная переподготовка,460,Заочная с применением электронного и дистанционного обучения,20000,8 (3452) 28-38-53; 8 (3452) 90-51-11; 8 912 991 90 90,тмцот.рф,dpo@tmcot.ru,Связь и ИКТ,100
Автономная некоммерческая организация «Тюменский межрегиональный центр охраны труда»,Социальный работник,Профессиональная переподготовка,300,Заочная с применением электронного и дистанционного обучения,20000,8 (3452) 28-38-53; 8 (3452) 90-51-11; 8 912 991 90 90,тмцот.рф,dpo@tmcot.ru,Социальное обслуживание,100
Автономная некоммерческая организация «Тюменский межрегиональный центр охраны труда»,Инспектор по кадрам (со знанием программы 1С: Зарплата и управление персоналом),Профессиональная переподготовка,256,Заочная с применением электронного и дистанционного обучения,18000,8 (3452) 28-38-53; 8 (3452) 90-51-11; 8 912 991 90 90,тмцот.рф,dpo@tmcot.ru,Финансы и экономика,110
Автономная некоммерческая организация «Тюменский межрегиональный центр охраны труда»,Специалист в сфере закупок,Профессиональная переподготовка,256,Заочная с применением электронного и дистанционного обучения,18000,8 (3452) 28-38-53; 8 (3452) 90-51-11; 8 912 991 90 90,тмцот.рф,dpo@tmcot.ru,Финансы и экономика,110
Автономная некоммерческая организация «Тюменский межрегиональный центр охраны труда»,Специалист по управлению персоналом,Профессиональная переподготовка,256,Заочная с применением электронного и дистанционного обучения,18000,8 (3452) 28-38-53; 8 (3452) 90-51-11; 8 912 991 90 90,тмцот.рф,dpo@tmcot.ru,Финансы и экономика,110
Федеральное государственное автономное образовательное учреждение высшего образования «Тюменский государственный университет»,Интернет-маркетинг,Повышение квалификации,72,Очная c применением дистанционного обучения,17900,8 (3452) 59-77-15,https://www.utmn.ru/,cdo@utmn.ru,Связь и ИКТ,36
Федеральное государственное автономное образовательное учреждение высшего образования «Тюменский государственный университет»,Технологии формирования личного бренда и продвижения в интернете,Повышение квалификации,72,Очная c применением дистанционного обучения,17900,8 (3452) 59-77-15,https://www.utmn.ru/,cdo@utmn.ru,Связь и ИКТ,36
Федеральное государственное автономное образовательное учреждение высшего образования «Тюменский государственный университет»,Основы таргетированной рекламы,Повышение квалификации,72,Очная c применением дистанционного обучения,17900,8 (3452) 59-77-15,https://www.utmn.ru/,cdo@utmn.ru,Связь и ИКТ,36
Федеральное государственное автономное образовательное учреждение высшего образования «Тюменский государственный университет»,Основы контекстной рекламы в интернете,Повышение квалификации,72,Очная c применением дистанционного обучения,17900,8 (3452) 59-77-15,https://www.utmn.ru/,cdo@utmn.ru,Связь и ИКТ,36
Федеральное государственное автономное образовательное учреждение высшего образования «Тюменский государственный университет»,Управление государственными и муниципальными закупками,Повышение квалификации,72,Очная c применением дистанционного обучения,17900,8 (3452) 59-77-15,https://www.utmn.ru/,cdo@utmn.ru,Финансы и экономика,36
Федеральное государственное автономное образовательное учреждение высшего образования «Тюменский государственный университет»,Современные технологии в педагогике,Повышение квалификации,72,Очная c применением дистанционного обучения,17900,8 (3452) 59-77-15,https://www.utmn.ru/,cdo@utmn.ru,Образование и наука,36
Федеральное государственное автономное образовательное учреждение высшего образования «Тюменский государственный университет»,Основы воспитания и развития детей,Повышение квалификации,72,Очная c применением дистанционного обучения,17900,8 (3452) 59-77-15,https://www.utmn.ru/,cdo@utmn.ru,Образование и наука,36
Федеральное государственное автономное образовательное учреждение высшего образования «Тюменский государственный университет»,Фитнес инструктор,Повышение квалификации,72,Очная c применением дистанционного обучения,17900,8 (3452) 59-77-15,https://www.utmn.ru/,cdo@utmn.ru,Физическая культура и спорт,36
Федеральное государственное автономное образовательное учреждение высшего образования «Тюменский государственный университет»,Практическая психология,Повышение квалификации,72,Очная c применением дистанционного обучения,17900,8 (3452) 59-77-15,https://www.utmn.ru/,cdo@utmn.ru,Образование и наука,36
Федеральное государственное автономное образовательное учреждение высшего образования «Тюменский государственный университет»,Основы финансовой грамотности,Повышение квалификации,72,Очная c применением дистанционного обучения,17900,8 (3452) 59-77-15,https://www.utmn.ru/,cdo@utmn.ru,Финансы и экономика,36
Федеральное государственное автономное образовательное учреждение высшего образования «Тюменский государственный университет»,Основы правовой грамотности,Повышение квалификации,72,Очная c применением дистанционного обучения,17900,8 (3452) 59-77-15,https://www.utmn.ru/,cdo@utmn.ru,Юриспруденция,36
Федеральное государственное автономное образовательное учреждение высшего образования «Тюменский государственный университет»,Основы цифровой грамотности,Повышение квалификации,72,Очная c применением дистанционного обучения,17900,8 (3452) 59-77-15,https://www.utmn.ru/,cdo@utmn.ru,Связь и ИКТ,36
Общество с ограниченной ответственностью научно-техническая академия «Техно Эксперт»,"""Зеленая"" экономика и устойчивое развитие",Профессиональная переподготовка,252,Очная c применением дистанционного обучения,20000,8 (3452) 28-54-74; 8 (800) 222 73 78,https://technoexpert.pro/,Evgeniy@technoexpert.pro,Финансы и экономика,90
Общество с ограниченной ответственностью научно-техническая академия «Техно Эксперт»,1С Бухгалтерия 8.3 Зарплата и кадры,Повышение квалификации,144,Очная c применением дистанционного обучения,15000,8 (3452) 28-54-74; 8 (800) 222 73 78,https://technoexpert.pro/,Evgeniy@technoexpert.pro,Финансы и экономика,64
Общество с ограниченной ответственностью научно-техническая академия «Техно Эксперт»,1С Бухгалтерия 8.3 Учет хозяйственных операций,Повышение квалификации,72,Очная c применением дистанционного обучения,14000,8 (3452) 28-54-74; 8 (800) 222 73 78,https://technoexpert.pro/,Evgeniy@technoexpert.pro,Финансы и экономика,36
Общество с ограниченной ответственностью научно-техническая академия «Техно Эксперт»,1С Бухгалтерия и управление персоналом.8.3,Повышение квалификации,72,Очная c применением дистанционного обучения,14000,8 (3452) 28-54-74; 8 (800) 222 73 78,https://technoexpert.pro/,Evgeniy@technoexpert.pro,Финансы и экономика,36
Общество с ограниченной ответственностью научно-техническая академия «Техно Эксперт»,1С предприятие,Повышение квалификации,72,Очная c применением дистанционного обучения,14000,8 (3452) 28-54-74; 8 (800) 222 73 78,https://technoexpert.pro/,Evgeniy@technoexpert.pro,Финансы и экономика,36
Общество с ограниченной ответственностью научно-техническая академия «Техно Эксперт»,1С Торговля и склад 8.3,Повышение квалификации,72,Очная c применением дистанционного обучения,14000,8 (3452) 28-54-74; 8 (800) 222 73 78,https://technoexpert.pro/,Evgeniy@technoexpert.pro,Финансы и экономика,36
Общество с ограниченной ответственностью научно-техническая академия «Техно Эксперт»,1С: Бухгалтерия 8.3. Зарплата и кадры,Профессиональная переподготовка,340,Очная c применением дистанционного обучения,20000,8 (3452) 28-54-74; 8 (800) 222 73 78,https://technoexpert.pro/,Evgeniy@technoexpert.pro,Финансы и экономика,100
Общество с ограниченной ответственностью научно-техническая академия «Техно Эксперт»,1С: Бухгалтерия 8.3. Учет хозяйственных операций,Профессиональная переподготовка,252,Очная c применением дистанционного обучения,20000,8 (3452) 28-54-74; 8 (800) 222 73 78,https://technoexpert.pro/,Evgeniy@technoexpert.pro,Финансы и экономика,90
